datetime,height,temperature
2022-06-20T03:00:00+03:00,200,13.54
2022-06-20T03:00:00+03:00,250,13.09
2022-06-20T03:00:00+03:00,300,12.66
2022-06-20T03:00:00+03:00,350,12.28
2022-06-20T03:00:00+03:00,400,11.92
2022-06-20T03:00:00+03:00,450,11.56
2022-06-20T03:00:00+03:00,500,11.18
2022-06-20T03:00:00+03:00,550,10.79
2022-06-20T03:00:00+03:00,600,10.41
2022-06-20T03:05:00+03:00,0,14.91
2022-06-20T03:05:00+03:00,50,14.69
2022-06-20T03:05:00+03:00,100,14.26
2022-06-20T03:05:00+03:00,150,13.74
2022-06-20T03:05:00+03:00,200,13.23
2022-06-20T03:05:00+03:00,250,12.79
2022-06-20T03:05:00+03:00,300,12.38
2022-06-20T03:05:00+03:00,350,11.99
2022-06-20T03:05:00+03:00,400,11.64
2022-06-20T03:05:00+03:00,450,11.29
2022-06-20T03:05:00+03:00,500,10.94
2022-06-20T03:05:00+03:00,550,10.58
2022-06-20T03:05:00+03:00,600,10.22
2022-06-20T03:10:00+03:00,0,14.83
2022-06-20T03:10:00+03:00,50,14.64
2022-06-20T03:10:00+03:00,100,14.21
2022-06-20T03:10:00+03:00,150,13.71
2022-06-20T03:10:00+03:00,200,13.22
2022-06-20T03:10:00+03:00,250,12.8
2022-06-20T03:10:00+03:00,300,12.4
2022-06-20T03:10:00+03:00,350,12.03
2022-06-20T03:10:00+03:00,400,11.69
2022-06-20T03:10:00+03:00,450,11.35
2022-06-20T03:10:00+03:00,500,11.02
2022-06-20T03:10:00+03:00,550,10.67
2022-06-20T03:10:00+03:00,600,10.33
2022-06-20T03:15:00+03:00,0,14.81
2022-06-20T03:15:00+03:00,50,14.62
2022-06-20T03:15:00+03:00,100,14.23
2022-06-20T03:15:00+03:00,150,13.82
2022-06-20T03:15:00+03:00,200,13.35
2022-06-20T03:15:00+03:00,250,12.91
2022-06-20T03:15:00+03:00,300,12.45
2022-06-20T03:15:00+03:00,350,12.05
2022-06-20T03:15:00+03:00,400,11.69
2022-06-20T03:15:00+03:00,450,11.32
2022-06-20T03:15:00+03:00,500,10.93
2022-06-20T03:15:00+03:00,550,10.53
2022-06-20T03:15:00+03:00,600,10.13
2022-06-20T03:20:00+03:00,0,14.78
2022-06-20T03:20:00+03:00,50,14.55
2022-06-20T03:20:00+03:00,100,14.22
2022-06-20T03:20:00+03:00,150,13.76
2022-06-20T03:20:00+03:00,200,13.29
2022-06-20T03:20:00+03:00,250,12.79
2022-06-20T03:20:00+03:00,300,12.32
2022-06-20T03:20:00+03:00,350,11.89
2022-06-20T03:20:00+03:00,400,11.51
2022-06-20T03:20:00+03:00,450,11.11
2022-06-20T03:20:00+03:00,500,10.69
2022-06-20T03:20:00+03:00,550,10.25
2022-06-20T03:20:00+03:00,600,9.82
2022-06-20T03:25:00+03:00,0,14.67
2022-06-20T03:25:00+03:00,50,14.47
2022-06-20T03:25:00+03:00,100,14.01
2022-06-20T03:25:00+03:00,150,13.47
2022-06-20T03:25:00+03:00,200,13.02
2022-06-20T03:25:00+03:00,250,12.57
2022-06-20T03:25:00+03:00,300,12.1
2022-06-20T03:25:00+03:00,350,11.69
2022-06-20T03:25:00+03:00,400,11.34
2022-06-20T03:25:00+03:00,450,10.99
2022-06-20T03:25:00+03:00,500,10.63
2022-06-20T03:25:00+03:00,550,10.26
2022-06-20T03:25:00+03:00,600,9.89
2022-06-20T03:30:00+03:00,0,14.55
2022-06-20T03:30:00+03:00,50,14.42
2022-06-20T03:30:00+03:00,100,13.94
2022-06-20T03:30:00+03:00,150,13.43
2022-06-20T03:30:00+03:00,200,12.91
2022-06-20T03:30:00+03:00,250,12.4
2022-06-20T03:30:00+03:00,300,11.98
