[2022-07-19 17:31:13,067] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:31:18,086] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-05-12.json
[2022-07-19 17:31:18,087] INFO: Trying to get data on 19.05.2012
[2022-07-19 17:31:26,201] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:31:31,220] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-05-19.json
[2022-07-19 17:31:31,220] INFO: Trying to get data on 26.05.2012
[2022-07-19 17:31:41,366] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:31:46,391] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-05-26.json
[2022-07-19 17:31:46,391] INFO: Trying to get data on 02.06.2012
[2022-07-19 17:31:54,866] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:31:59,917] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-06-02.json
[2022-07-19 17:31:59,917] INFO: Trying to get data on 09.06.2012
[2022-07-19 17:32:08,113] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:32:13,141] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-06-09.json
[2022-07-19 17:32:13,141] INFO: Trying to get data on 16.06.2012
[2022-07-19 17:32:21,172] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:32:26,221] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-06-16.json
[2022-07-19 17:32:26,222] INFO: Trying to get data on 23.06.2012
[2022-07-19 17:32:34,173] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:32:39,197] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-06-23.json
[2022-07-19 17:32:39,197] INFO: Trying to get data on 30.06.2012
[2022-07-19 17:32:50,492] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 2; Шелехов — 1
[2022-07-19 17:32:55,516] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-06-30.json
[2022-07-19 17:32:55,517] INFO: Trying to get data on 07.07.2012
[2022-07-19 17:33:05,757] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 1; Шелехов — 1
[2022-07-19 17:33:10,778] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-07-07.json
[2022-07-19 17:33:10,779] INFO: Trying to get data on 14.07.2012
[2022-07-19 17:33:23,694] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 3; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 1; Шелехов — 1
[2022-07-19 17:33:28,714] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-07-14.json
[2022-07-19 17:33:28,714] INFO: Trying to get data on 21.07.2012
[2022-07-19 17:33:36,792] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 2; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 1
[2022-07-19 17:33:41,806] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-07-21.json
[2022-07-19 17:33:41,806] INFO: Trying to get data on 28.07.2012
[2022-07-19 17:33:50,825] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 2; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 1
[2022-07-19 17:33:55,841] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-07-28.json
[2022-07-19 17:33:55,841] INFO: Trying to get data on 04.08.2012
[2022-07-19 17:34:08,060] INFO: Extracted data for stations in cities: Ангарск — 3; Иркутск — 2; Свирск — 1; Усолье-Сибирское — 1; Черемхово — 1
[2022-07-19 17:34:13,074] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-08-04.json
[2022-07-19 17:34:13,074] INFO: Trying to get data on 11.08.2012
[2022-07-19 17:34:21,586] INFO: Extracted data for stations in cities: Ангарск — 2; Иркутск — 1; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 1
[2022-07-19 17:34:26,606] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-08-11.json
[2022-07-19 17:34:26,606] INFO: Trying to get data on 18.08.2012
[2022-07-19 17:34:36,415] INFO: Extracted data for stations in cities: Ангарск — 1; Иркутск — 1; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 1
[2022-07-19 17:34:41,429] INFO: Data saved to data/feerc/raw/history_before_2022-07-15/2012-08-18.json
[2022-07-19 17:34:41,430] INFO: Trying to get data on 25.08.2012
[2022-07-19 17:34:51,423] INFO: Extracted data for stations in cities: Ангарск — 1; Иркутск — 2; Свирск — 1; Усолье-Сибирское — 2; Черемхово — 1; Шелехов — 1
