[2023-07-21 00:32:27,381] CRITICAL: Cannot get data from https://www.mineral.spb.ru/asmav30d/index.php?id=25
[2023-07-21 00:32:27,381] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:32:27,381] INFO: Processing gmsav station with id 1
[2023-07-21 00:34:38,453] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=1
[2023-07-21 00:34:38,453] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:34:38,453] INFO: Processing gmsav station with id 2
[2023-07-21 00:36:49,525] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=2
[2023-07-21 00:36:49,526] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:36:49,526] INFO: Processing gmsav station with id 4
[2023-07-21 00:39:00,597] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=4
[2023-07-21 00:39:00,597] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:39:00,597] INFO: Processing gmsav station with id 6
[2023-07-21 00:41:11,669] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=6
[2023-07-21 00:41:11,669] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:41:11,669] INFO: Processing gmsav station with id 7
[2023-07-21 00:43:22,741] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=7
[2023-07-21 00:43:22,741] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:43:22,742] INFO: Processing gmsav station with id 8
[2023-07-21 00:45:33,813] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=8
[2023-07-21 00:45:33,813] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:45:33,813] INFO: Processing gmsav station with id 10
[2023-07-21 00:47:44,885] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=10
[2023-07-21 00:47:44,885] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:47:44,885] INFO: Processing gmsav station with id 12
[2023-07-21 00:49:55,957] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=12
[2023-07-21 00:49:55,957] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:49:55,957] INFO: Processing gmsav station with id 27
[2023-07-21 00:52:07,029] CRITICAL: Cannot get data from https://www.mineral.spb.ru/gmsav30d/index.php?id=27
[2023-07-21 00:52:07,029] CRITICAL: [Errno 110] Connection timed out
[2023-07-21 00:52:07,030] INFO: Extracted data for 2023-07-21T02:37:49+03:00
[2023-07-21 00:52:07,030] INFO: 0 stations were processed successfuly 34 with errors
